,0
332,172.39
333,173.73
334,172.28
335,172.14
336,172.32
337,171.45
338,172.86
339,171.88
340,168.69
341,168.44
342,168.46
343,170.13
344,171.09
345,171.18
346,172.26
347,174.55
348,175.11
349,175.74
350,176.74
351,176.52
352,178.18
353,181.23
354,180.57
355,179.83
356,182.88
357,179.8
358,179.77
359,183.55
360,180.33
361,179.81
362,183.21
363,184.9
364,185.73
365,185.97
366,187.52
367,190.57
368,189.38
369,185.18
370,185.59
371,185.32
372,185.98
373,186.57
374,183.92
375,186.46
376,185.24
377,184.35
378,181.69
379,185.38
380,186.03
381,186.38
382,185.2
383,183.01
384,183.78
385,179.29
386,178.32
387,174.67
388,176.65
389,180.62
390,179.7
391,179.31
392,180.51
393,180.52
394,181.17
395,179.24
396,182.32
397,182.0
398,181.62
399,181.34
400,179.9
401,180.49
402,181.57
403,179.39
404,177.83
405,178.74
406,177.56
407,180.17
408,178.58
409,178.63
410,176.32
411,176.34
412,178.95
413,177.71
414,174.89
415,174.23
416,172.75
417,172.22
418,171.42
419,172.14
420,172.87
421,173.28
422,174.03
423,173.85
424,173.5
425,175.39
426,174.71
427,173.87
428,173.6
429,174.02
430,173.73
431,173.27
432,174.78
433,172.87
434,174.39
435,173.16
436,172.9
437,169.86
438,170.21
439,170.51
440,171.49
441,171.32
442,170.79
443,170.9
444,170.37
445,171.93
446,171.24
447,170.7
448,171.71
449,172.64
450,173.18
451,171.7
452,169.76
453,170.35
454,170.69
455,171.22
456,170.65
457,171.2
458,171.95
459,172.8
460,174.08
461,175.2
462,175.81
463,173.49
464,172.51
465,173.11
466,173.03
467,173.21
468,173.78
469,173.26
470,175.08
471,173.31
472,171.7
473,172.59
474,174.0
475,173.84
476,174.52
477,174.36
478,176.22
479,178.2
480,178.61
481,176.92
482,178.05
483,176.73
484,175.66
485,174.82
486,173.93
487,175.02
488,173.87
489,173.42
490,171.57
491,172.19
492,171.69
493,171.45
494,171.84
495,171.19
496,171.66
497,172.64
498,172.52
499,171.86
500,171.91
501,171.69
502,172.25
503,170.46
504,169.18
505,171.89
506,172.81
507,173.57
508,172.64
509,173.21
510,170.34
511,170.63
512,170.78
513,167.97
514,166.22
515,166.86
516,166.45
517,166.04
518,165.57
519,164.88
520,164.26
521,163.15
522,162.22
523,161.32
524,161.61
525,161.49
526,161.25
527,160.33
528,160.26
529,159.78
530,157.56
531,157.55
532,158.32
533,158.0
534,159.55
535,159.16
536,159.29
537,159.61
538,159.29
539,158.84
540,159.31
541,159.82
542,160.46
543,160.35
544,160.58
545,161.51
546,161.85
547,160.34
548,162.16
549,159.82
550,159.11
551,158.83
552,158.75
553,159.36
554,158.65
555,159.11
556,158.86
557,158.81
558,159.08
559,158.82
560,158.54
561,160.33
562,157.65
563,157.26
564,158.12
565,157.91
566,157.32
567,156.71
568,157.71
569,158.05
570,157.77
571,156.37
572,156.64
573,157.46
574,157.71
575,155.99
576,154.59
577,155.33
578,155.56
579,154.91
580,155.98
581,155.85
582,159.87
583,162.58
584,160.56
585,159.78
586,160.03
587,158.99
588,158.5
589,156.69
590,158.06
591,157.51
592,157.56
593,156.61
594,156.78
595,155.56
596,155.55
597,153.35
598,151.9
599,152.25
600,153.04
601,152.69
602,152.65
603,152.71
604,152.2
605,152.73
606,153.54
607,152.32
608,151.12
609,151.47
610,150.25
611,150.87
612,151.07
613,152.27
614,153.76
615,155.48
616,154.24
617,152.03
618,152.17
619,153.39
620,151.56
621,151.3
622,151.55
623,152.83
624,153.34
625,153.05
626,151.24
627,151.87
628,155.5
629,156.15
630,156.33
631,155.59
632,155.21
633,154.39
634,154.09
635,153.83
636,152.46
637,152.91
638,152.28
639,152.18
640,152.37
641,151.78
642,150.3
643,148.58
644,149.02
645,149.16
646,150.07
647,148.81
648,148.17
649,148.57
650,148.27
651,148.34
652,148.37
653,149.75
654,149.83
655,148.82
656,148.37
657,148.64
658,147.94
659,146.95
660,147.17
661,147.99
662,149.89
663,149.54
664,149.73
665,150.62
666,152.14
667,153.64
668,153.05
669,154.52
670,153.56
671,152.95
672,151.98
673,152.73
674,153.15
675,154.68
676,155.82
677,155.79
678,155.03
679,155.16
680,154.79
681,152.95
682,151.25
683,150.6
684,150.54
685,150.58
686,148.61
687,146.93
688,147.39
689,147.49
690,148.49
691,149.45
692,149.2
693,148.74
694,147.49
695,148.35
696,148.84
697,149.26
698,148.46
699,147.26
700,147.71
701,147.17
702,148.77
703,150.15
704,150.36
705,147.25
706,147.24
707,146.38
708,146.36
709,146.11
710,145.28
711,144.56
712,144.79
713,144.26
714,143.37
715,142.74
716,143.0
717,142.86
718,141.87
719,141.87
720,142.39
721,142.66
722,142.73
723,143.58
724,143.77
725,144.08
726,145.56
727,145.88
728,147.21
729,146.14
730,142.87
731,142.57
732,144.12
733,144.46
734,145.74
735,145.61
736,147.18
737,146.94
738,146.99
739,146.38
740,144.77
741,145.02
742,145.08
743,145.15
744,146.06
745,147.05
746,147.81
747,148.04
748,146.51
749,147.11
750,147.48
751,147.47
752,145.96
753,145.78
754,144.88
755,143.63
756,143.02
757,142.54
758,142.63
759,141.96
760,142.87
761,143.84
762,142.94
763,143.3
764,143.65
765,144.4
766,144.61
767,144.66
768,144.88
769,144.69
770,144.5
771,143.07
772,142.42
773,142.24
774,142.82
775,143.86
776,146.34
777,146.45
778,144.77
779,146.9
780,146.14
781,146.08
782,148.4
783,147.41
784,149.36
785,148.05
786,146.95
787,145.02
788,144.46
789,145.1
790,143.88
791,142.8
792,141.69
793,141.87
794,141.81
795,141.6
796,140.89
797,141.24
798,141.03
799,140.26
800,140.05
801,138.92
802,138.29
803,138.21
804,137.88
805,138.59
806,139.15
807,139.33
808,139.7
809,139.18
810,140.8
811,140.26
812,140.31
813,139.71
814,139.91
815,140.6
816,140.68
817,141.01
818,140.92
819,140.52
820,139.72
821,139.69
822,139.07
823,138.57
824,139.11
825,139.77
826,140.41
827,141.39
828,141.73
829,139.57
830,139.47
831,142.63
832,138.42
833,140.05
834,140.54
835,139.77
836,139.84
837,141.12
838,140.49
839,140.33
840,141.06
841,141.01
842,140.71
843,140.61
844,140.31
845,139.85
846,140.31
847,140.3
848,141.61
849,141.59
850,142.19
851,142.63
852,142.08
853,141.08
854,141.87
855,140.25
856,139.79
857,141.66
858,142.14
859,141.8
860,141.18
861,140.41
862,139.86
863,139.33
864,139.73
865,139.56
866,139.62
867,140.21
868,139.59
869,138.96
870,139.25
871,138.56
872,139.42
873,139.15
874,139.22
875,136.75
876,136.29
877,135.52
878,135.83
879,136.04
880,135.34
881,136.17
882,136.83
883,136.9
884,136.46
885,136.31
886,135.52
887,135.91
888,134.03
889,134.49
890,135.06
891,134.57
892,135.55
893,136.05
894,136.25
895,135.38
896,135.35
897,135.51
898,134.46
899,135.04
900,135.85
901,134.29
902,134.96
903,135.51
904,135.96
905,136.97
906,138.2
907,138.03
908,137.19
909,137.86
910,138.2
911,138.31
912,136.39
913,138.24
914,137.26
915,136.44
916,136.73
917,137.09
918,136.75
919,135.98
920,136.24
921,135.17
922,134.56
923,134.27
924,134.15
925,134.11
926,133.29
927,133.14
928,132.62
929,132.16
930,132.07
931,131.78
932,131.45
933,131.59
934,132.28
935,132.78
936,132.88
937,133.01
938,132.38
939,133.1
940,133.2
941,133.18
942,133.89
943,134.32
944,134.36
945,134.62
946,134.72
947,134.51
948,135.58
949,135.39
950,136.11
951,134.6
952,134.64
953,135.6
954,135.51
955,136.53
956,135.86
957,136.25
958,138.1
959,141.27
960,140.03
961,140.26
962,137.88
963,137.14
964,138.25
965,137.15
966,136.06
967,136.1
968,135.48
969,134.72
970,134.49
971,134.02
972,134.19
973,133.41
974,132.42
975,132.48
976,132.57
977,131.66
978,131.19
979,130.58
980,130.65
981,130.03
982,130.08
983,130.26
984,129.92
985,129.79
986,128.87
987,128.4
988,128.14
989,128.13
990,127.93
991,128.02
992,127.49
993,127.73
994,128.32
995,128.18
996,127.22
997,127.08
998,127.91
999,129.36
1000,128.18
1001,128.97
1002,130.15
1003,132.3
1004,132.92
1005,130.74
1006,129.69
1007,128.99
1008,128.13
1009,127.64
1010,128.45
1011,128.85
1012,128.62
1013,128.49
1014,128.82
1015,126.93
1016,126.09
1017,125.46
1018,127.24
1019,128.23
1020,129.89
1021,131.92
1022,132.58
1023,131.02
1024,131.6
1025,129.28
1026,130.37
1027,130.2
1028,130.6
1029,129.2
1030,128.81
1031,128.18
1032,129.73
1033,129.53
1034,130.95
1035,128.97
1036,129.15
1037,129.32
1038,129.25
1039,127.42
1040,128.12
1041,127.25
1042,126.69
1043,125.83
1044,125.12
1045,124.99
1046,125.06
1047,125.23
1048,124.98
1049,125.3
1050,124.39
1051,124.52
1052,124.01
1053,124.4
1054,124.46
1055,124.92
1056,125.84
1057,125.86
1058,125.79
1059,126.55
1060,126.66
1061,125.19
1062,125.72
1063,126.8
1064,126.35
1065,125.02
1066,125.53
1067,125.9
1068,124.5
1069,124.5
1070,124.69
1071,124.5
1072,123.59
1073,123.9
1074,124.79
1075,124.83
1076,124.39
1077,123.59
1078,123.63
1079,124.32
1080,124.07
1081,124.73
1082,123.91
1083,123.86
1084,123.34
1085,123.84
1086,123.3
1087,123.0
1088,123.21
1089,123.46
1090,123.98
1091,123.84
1092,124.16
1093,124.24
1094,123.5
1095,123.7
1096,122.63
1097,123.09
1098,124.95
1099,125.27
1100,124.57
1101,124.3
1102,123.78
1103,123.5
1104,124.38
1105,123.76
1106,123.67
1107,123.88
1108,123.92
1109,123.32
1110,124.46
1111,125.1
1112,127.14
1113,127.35
1114,127.62
1115,127.19
1116,126.06
1117,126.67
1118,126.15
1119,125.35
1120,126.95
1121,125.85
1122,126.32
1123,128.07
1124,128.15
1125,127.75
1126,129.5
1127,130.17
1128,131.1
1129,129.92
1130,130.58
1131,130.45
1132,130.61
1133,131.88
1134,132.14
1135,131.64
1136,131.92
1137,131.27
1138,130.01
1139,130.42
1140,132.28
1141,131.93
1142,131.08
1143,131.56
1144,130.73
1145,130.21
1146,128.57
1147,128.09
1148,129.76
1149,130.06
1150,131.08
1151,131.26
1152,131.22
1153,131.19
1154,130.37
1155,130.9
1156,130.42
1157,130.9
1158,130.55
1159,129.84
1160,129.77
1161,130.86
1162,130.61
1163,132.1
1164,133.08
1165,133.44
1166,133.43
1167,133.41
1168,132.73
1169,132.04
1170,133.91
1171,134.32
1172,133.74
1173,133.8
1174,133.53
1175,134.91
1176,134.41
1177,135.64
1178,134.37
1179,134.75
1180,134.16
1181,136.03
1182,139.75
1183,139.49
1184,138.56
1185,139.36
1186,145.8
1187,148.25
1188,151.12
1189,156.55
1190,159.04
1191,158.4
1192,161.21
1193,158.42
1194,154.63
1195,156.14
1196,155.2
1197,153.98
1198,154.02
1199,150.51
1200,147.59
1201,148.11
1202,149.9
1203,148.29
1204,148.15
1205,148.68
1206,146.57
1207,145.99
1208,149.29
1209,147.84
1210,150.28
1211,149.15
1212,151.16
1213,149.67
1214,148.29
1215,147.91
1216,146.0
1217,145.54
1218,146.13
1219,146.77
1220,146.59
1221,146.42
1222,145.6
1223,145.25
1224,145.21
1225,145.44
1226,144.02
1227,142.27
1228,142.74
1229,142.92
1230,142.71
1231,143.7
1232,143.62
1233,143.59
1234,142.75
1235,141.46
1236,142.2
1237,143.08
1238,142.01
1239,141.49
1240,139.7
1241,139.17
1242,140.14
1243,142.12
1244,141.19
1245,139.38
1246,138.06
1247,138.47
1248,139.19
1249,139.94
1250,139.5
1251,139.47
1252,139.06
1253,139.46
1254,138.46
1255,138.33
1256,137.33
1257,137.57
1258,137.49
1259,137.83
1260,138.62
1261,138.83
1262,139.02
1263,138.71
1264,138.01
1265,137.44
1266,138.3
1267,139.76
1268,139.18
1269,138.99
1270,138.5
1271,137.92
1272,137.27
1273,137.79
1274,138.46
1275,138.09
1276,138.35
1277,139.14
1278,138.0
1279,137.82
1280,137.28
1281,138.41
1282,139.62
1283,138.51
1284,139.23
1285,139.79
1286,139.51
1287,137.59
1288,137.87
1289,136.69
1290,138.38
1291,137.38
1292,137.51
1293,137.24
1294,135.15
1295,133.44
1296,133.06
1297,130.07
1298,130.59
1299,130.26
1300,130.05
1301,129.12
1302,129.47
1303,130.02
1304,129.23
1305,129.12
1306,129.06
1307,128.35
1308,128.4
1309,128.32
1310,128.81
1311,130.0
1312,130.66
1313,130.02
1314,130.89
1315,130.17
1316,130.38
1317,130.14
1318,129.6
1319,129.47
1320,129.32
1321,129.04
1322,129.54
1323,130.29
1324,129.22
1325,128.33
1326,127.03
1327,126.9
1328,126.03
1329,127.7
1330,128.38
1331,129.44
1332,129.68
1333,130.19
1334,132.44
1335,131.7
1336,132.17
1337,131.48
1338,132.73
1339,130.33
1340,131.54
1341,131.81
1342,132.55
1343,132.64
1344,132.63
1345,134.19
1346,135.73
1347,134.84
1348,134.47
1349,133.77
1350,135.03
1351,134.79
1352,134.22
1353,134.06
1354,134.76
1355,135.64
1356,135.28
1357,134.71
1358,134.7
1359,133.87
1360,131.61
1361,131.68
1362,131.83
1363,133.49
1364,135.45
1365,136.34
1366,135.73
1367,133.45
1368,132.19
1369,133.52
1370,133.36
1371,133.82
1372,134.69
1373,135.05
1374,134.24
1375,133.15
1376,134.2
1377,133.92
1378,133.3
1379,133.24
1380,134.79
1381,135.7
1382,135.6
1383,136.1
1384,136.88
1385,136.45
1386,136.25
1387,135.92
1388,135.24
1389,135.18
1390,136.43
1391,136.37
1392,137.42
1393,137.43
1394,136.45
1395,137.74
1396,139.17
1397,139.63
1398,139.25
1399,139.06
1400,139.7
1401,141.16
1402,142.71
1403,142.17
1404,143.57
1405,148.39
1406,150.13
1407,156.64
1408,154.95
1409,160.73
1410,158.35
1411,156.0
1412,157.45
1413,157.32
1414,156.85
1415,156.18
1416,155.46
1417,155.97
1418,156.39
1419,157.41
1420,158.26
1421,160.33
1422,159.91
1423,159.21
1424,160.76
1425,161.18
1426,162.6
1427,162.68
1428,161.9
1429,159.92
1430,160.59
1431,161.46
1432,162.4
1433,163.78
1434,163.21
1435,162.54
1436,163.53
1437,164.4
1438,166.3
1439,165.0
1440,168.61
1441,169.26
1442,169.71
1443,169.82
1444,171.24
1445,169.98
1446,169.5
1447,169.19
1448,168.23
1449,166.45
1450,167.41
1451,166.07
1452,167.65
1453,169.38
1454,169.22
1455,172.89
1456,171.81
1457,170.98
1458,167.48
1459,160.4
1460,159.96
1461,160.01
1462,160.2
1463,157.13
1464,157.37
1465,157.97
1466,158.34
1467,156.98
1468,155.37
1469,155.54
1470,157.1
1471,156.91
1472,156.81
1473,155.59
1474,154.77
1475,155.98
1476,157.91
1477,158.32
1478,161.77
1479,162.32
1480,156.8
1481,156.05
1482,156.75
1483,157.55
1484,157.66
1485,157.98
1486,156.8
1487,158.47
1488,156.93
1489,154.66
1490,156.4
1491,155.29
1492,156.43
1493,157.37
1494,156.4
1495,155.7
1496,156.66
1497,156.27
1498,154.39
1499,153.92
1500,154.11
1501,154.6
1502,155.19
1503,154.63
1504,155.92
1505,154.62
1506,155.92
1507,153.9
1508,154.43
1509,155.92
1510,155.18
1511,154.29
1512,155.41
1513,155.13
1514,154.93
1515,153.79
1516,154.11
1517,154.5
1518,155.57
1519,155.2
1520,155.53
1521,156.31
1522,157.57
1523,157.26
1524,157.17
1525,157.51
1526,157.98
1527,157.83
1528,157.52
1529,157.88
1530,156.71
1531,158.2
1532,157.15
1533,156.44
1534,158.08
1535,158.9
1536,157.66
1537,157.53
1538,156.35
1539,154.7
1540,155.32
1541,155.44
1542,154.74
1543,154.93
1544,155.76
1545,156.18
1546,157.82
1547,158.8
1548,158.21
1549,157.81
1550,157.19
1551,157.09
1552,155.26
1553,155.82
1554,155.66
1555,154.85
1556,154.69
1557,155.08
1558,154.81
1559,154.21
1560,153.4
1561,153.1
1562,153.72
1563,152.17
1564,152.58
1565,152.55
1566,151.9
1567,151.84
1568,151.39
1569,151.84
1570,152.49
1571,152.53
1572,152.5
1573,152.55
1574,152.6
1575,152.89
1576,152.45
1577,151.84
1578,150.98
1579,150.85
1580,151.42
1581,152.14
1582,152.27
1583,151.95
1584,151.1
1585,152.28
1586,152.58
1587,152.25
1588,153.74
1589,155.41
1590,155.62
1591,154.5
1592,154.68
1593,154.86
1594,154.41
1595,155.34
1596,155.08
1597,155.76
1598,156.64
1599,155.16
1600,156.04
1601,158.6
1602,159.27
1603,161.18
1604,161.4
1605,162.76
1606,162.49
1607,160.63
1608,159.91
1609,158.65
1610,159.01
1611,157.37
1612,158.47
1613,158.5
1614,158.77
1615,158.46
1616,158.69
1617,155.16
1618,153.42
1619,151.87
1620,151.86
1621,152.37
1622,152.18
1623,152.21
1624,153.27
1625,151.61
1626,151.14
1627,152.18
1628,153.94
1629,153.62
1630,152.9
1631,153.76
1632,153.06
1633,152.65
1634,154.22
1635,152.98
1636,152.63
1637,152.88
1638,153.55
1639,155.22
1640,155.21
1641,154.51
1642,154.52
1643,153.35
1644,151.5
1645,153.13
1646,156.31
1647,157.59
1648,157.18
1649,156.36
1650,156.3
1651,156.86
1652,156.15
1653,157.23
1654,152.74
1655,152.56
1656,151.65
1657,151.26
1658,153.19
1659,151.41
1660,153.48
1661,150.25
1662,150.52
1663,152.94
1664,151.39
1665,150.94
1666,151.11
1667,150.22
1668,149.66
1669,149.4
1670,150.2
1671,150.24
1672,150.19
1673,149.93
1674,149.4
1675,149.06
1676,149.2
1677,149.4
1678,148.95
1679,148.44
1680,148.78
1681,147.33
1682,147.5
1683,147.36
1684,147.66
1685,148.03
1686,147.42
1687,148.48
1688,148.27
1689,148.08
1690,149.19
1691,149.74
1692,150.11
1693,149.89
1694,151.91
1695,152.85
1696,151.53
1697,152.39
1698,153.96
1699,151.75
1700,150.33
1701,150.19
1702,148.24
1703,147.36
1704,147.94
1705,148.81
1706,148.84
1707,153.53
1708,154.38
1709,155.65
1710,159.21
1711,160.17
1712,165.2
1713,167.57
1714,162.55
1715,163.69
1716,163.96
1717,161.3
1718,161.94
1719,159.52
1720,162.48
1721,158.12
1722,155.44
1723,159.27
1724,159.13
1725,154.86
1726,158.23
1727,157.95
1728,156.5
1729,156.7
1730,156.18
1731,157.97
1732,157.84
1733,155.89
1734,153.5
1735,152.08
1736,151.87
1737,150.39
1738,150.19
1739,149.85
1740,149.74
1741,149.94
1742,149.01
1743,150.04
1744,150.21
1745,149.15
1746,149.37
1747,150.83
1748,150.42
1749,149.57
1750,148.66
1751,146.77
1752,145.42
1753,145.19
1754,144.74
1755,144.89
1756,146.63
1757,147.65
1758,147.57
1759,148.14
1760,147.32
1761,146.86
1762,146.39
1763,146.64
1764,145.93
1765,145.98
1766,145.96
1767,146.3
1768,145.75
1769,147.65
1770,149.56
1771,147.9
1772,148.23
1773,147.13
1774,149.16
1775,148.13
1776,147.8
1777,148.97
1778,149.43
1779,149.98
1780,149.89
1781,150.32
1782,149.95
1783,149.11
1784,149.2
1785,149.73
1786,149.43
1787,150.94
1788,150.06
1789,150.13
1790,151.74
1791,152.92
1792,152.17
1793,151.31
1794,149.35
1795,150.58
1796,151.53
1797,152.49
1798,150.83
1799,149.84
1800,150.13
1801,149.3
1802,148.73
1803,148.07
1804,147.64
1805,148.71
1806,150.49
1807,151.34
1808,151.92
1809,151.52
1810,151.93
1811,150.63
1812,150.89
1813,149.78
1814,149.29
1815,150.78
1816,152.26
1817,152.9
1818,151.33
1819,150.67
1820,151.51
1821,151.41
1822,152.39
1823,152.21
1824,153.33
1825,154.99
1826,155.15
1827,156.55
1828,158.87
1829,157.58
1830,162.69
1831,164.01
1832,168.05
1833,172.83
1834,175.92
1835,171.51
1836,170.65
1837,169.9
1838,174.43
1839,165.47
1840,167.19
1841,169.16
1842,167.52
1843,165.7
1844,164.83
1845,167.33
1846,167.86
1847,167.13
1848,164.91
1849,164.23
1850,164.37
1851,164.89
1852,162.67
1853,162.35
1854,161.54
1855,163.05
1856,165.22
1857,166.67
1858,164.69
1859,161.84
1860,159.23
1861,158.13
1862,156.85
1863,156.5
1864,157.56
1865,157.86
1866,158.26
1867,156.65
1868,156.56
1869,156.41
1870,158.22
1871,161.02
1872,160.1
1873,161.02
1874,160.69
1875,158.45
1876,158.68
1877,158.67
1878,163.07
1879,162.83
1880,162.9
1881,163.08
1882,163.22
1883,161.46
1884,162.34
1885,161.55
1886,162.95
1887,162.07
1888,162.91
1889,163.11
1890,163.23
1891,161.92
1892,160.11
1893,160.6
1894,159.01
1895,159.27
1896,160.22
1897,161.12
1898,161.93
1899,158.36
1900,160.72
1901,161.34
1902,162.07
1903,164.41
1904,164.39
1905,162.87
1906,162.05
1907,161.09
1908,163.4
1909,165.83
1910,166.46
1911,166.14
1912,166.22
1913,166.58
1914,168.05
1915,170.86
1916,171.34
1917,173.07
1918,172.72
1919,171.46
1920,168.47
1921,170.01
1922,169.39
1923,171.16
1924,169.65
1925,169.48
1926,170.53
1927,170.6
1928,169.07
1929,169.08
1930,171.12
1931,170.75
1932,172.88
1933,171.11
1934,171.4
1935,171.77
1936,169.93
1937,169.79
1938,170.68
1939,171.22
1940,169.84
1941,171.04
1942,168.21
1943,166.94
1944,164.96
1945,163.8
1946,163.13
1947,164.66
1948,166.19
1949,165.92
1950,165.4
1951,165.12
1952,165.72
1953,164.02
1954,164.63
1955,165.67
1956,166.15
1957,164.01
1958,165.31
1959,164.79
1960,164.86
1961,164.6
1962,165.55
1963,162.41
1964,161.32
1965,162.51
1966,162.84
1967,163.56
1968,161.45
1969,160.68
1970,161.01
1971,160.22
1972,159.52
1973,159.4
1974,158.55
1975,158.5
1976,159.5
1977,159.19
1978,158.6
1979,157.54
1980,157.5
1981,158.79
1982,157.81
1983,154.6
1984,155.62
1985,157.12
1986,156.73
1987,156.09
1988,157.11
1989,156.69
1990,156.57
1991,155.73
1992,154.39
1993,153.33
1994,151.2
1995,151.37
1996,151.53
1997,149.54
1998,150.1
1999,150.65
2000,150.1
2001,148.22
2002,148.53
2003,145.36
2004,147.17
2005,145.61
2006,146.84
2007,148.15
2008,150.05
2009,150.76
2010,150.91
2011,149.51
2012,148.8
2013,148.38
2014,150.05
2015,149.6
2016,150.53
2017,148.77
2018,147.74
2019,146.37
2020,145.54
2021,144.91
2022,144.83
2023,145.22
2024,146.16
2025,144.25
2026,145.86
2027,146.43
2028,146.16
2029,146.83
2030,147.39
2031,146.56
2032,146.43
2033,146.66
2034,147.17
2035,148.38
2036,148.31
2037,148.46
2038,148.74
2039,149.05
2040,148.41
2041,148.65
2042,147.73
2043,148.14
2044,146.14
2045,145.19
2046,145.5
2047,145.3
2048,145.63
2049,144.92
2050,145.16
2051,144.31
2052,144.22
2053,144.37
2054,145.27
2055,143.59
2056,143.78
2057,143.47
2058,142.86
2059,143.16
2060,143.17
2061,142.96
2062,144.03
2063,144.94
2064,144.56
2065,143.88
2066,143.92
2067,145.24
2068,143.81
2069,141.99
2070,142.91
2071,144.67
2072,145.43
2073,144.04
2074,144.57
2075,145.42
2076,142.31
2077,142.45
2078,141.86
2079,142.93
2080,142.9
2081,141.8
2082,141.97
2083,141.79
2084,142.01
2085,140.66
2086,141.15
2087,140.97
2088,141.56
2089,141.75
2090,142.41
2091,143.44
2092,143.15
2093,144.79
2094,143.94
2095,143.81
2096,142.59
2097,143.33
2098,143.23
2099,141.61
2100,142.23
2101,141.85
2102,141.73
2103,141.31
2104,140.26
2105,139.28
2106,138.72
2107,138.55
2108,138.8
2109,139.73
2110,140.24
2111,141.61
2112,142.38
2113,141.1
2114,141.92
2115,141.49
2116,140.16
2117,140.79
2118,140.48
2119,139.15
2120,138.6
2121,139.89
2122,139.37
2123,140.1
2124,138.53
2125,138.92
2126,138.97
2127,138.27
2128,137.18
2129,138.79
2130,140.1
2131,139.9
2132,138.06
2133,137.07
2134,137.2
2135,135.92
2136,136.46
2137,135.14
2138,135.42
2139,135.19
2140,136.28
2141,135.36
